,IATA,IACO,Aerolinea,Llamada de Identificación,País
0,PR,BOI,2GO,ABAIR,Philippines
1,1A,n/a,Amadeus IT Group S.A.,n/a,Global
2,1B,n/a,Sabre travel network Asia-Pacific (ex-Abacus),n/a,APAC
3,1E,n/a,Travelsky,n/a,China
4,1F,n/a,"Infini travel information, Inc.",n/a,Japan
5,1G,n/a,Travelport (Galileo core),n/a,Global
6,1H,n/a,Sirena travel,n/a,Russia
7,1J,n/a,"Axess international network, Inc.",n/a,Japan
8,1K,n/a,AIRKIOSK,n/a,Global
9,1M,n/a,Sirin,n/a,Russia
10,1P,n/a,Travelport (Worldspan core),n/a,Global
11,1S,n/a,Sabre travel network,n/a,Global
12,1T,n/a,Hitit Computer Services,n/a,Turkey
13,1U,n/a,Google/ITA,n/a,United States
14,2T,TBS,Timbis Air,TIMBIS,Kenya
15,3F,FIE,FlyOne Armenia,ARMRIDER,Armenia
16,Q5,MLA,40-Mile Air,MILE-AIR,United States
17,4D,ASD,Air Sinai,AIR SINAI,Egypt
18,4R,SEK,Star East Airline[de;fa;it;pl],EAST RIDER,Romania
19,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
20,4Y,OCN,Eurowings Discover,EUROWINGS DISCOVER,Germany
21,5F,FIA,FlyOne,FIA,Moldova
22,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
23,6E,IGO,IndiGo,IFLY,India
24,6H,ISR,Israir,ISRAIR,Israel
25,7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
26,7B,UBE,Bees Airline,FLOWER BEE,Ukraine
27,7S,RYA,Ryan Air Services,RYAN AIR,United States
28,9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
29,BJ,ABJ,Abaeté Linhas Aéreas,ABAETE,Brazil
30,RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
31,W9,AAB,Abelag Aviation,ABG,Belgium
32,M3,TUS,ABSA Cargo,Turismo,Brazil
33,GB,ABX,ABX Air,ABEX,United States
34,ZA,CYD,AccessAir,CYCLONE,United States
35,VX,AES,ACES Colombia,ACES,Colombia
36,KI,DHI,Adam Air,ADAM SKY,Indonesia
37,Z7*,ADK,ADC Airlines,ADCO,Nigeria
38,JP,ADR,Adria Airways,ADRIA,Slovenia
39,AN,WSN,Advanced Air,WINGSPAN,United States
40,A3,AEE,Aegean Airlines,AEGEAN,Greece
41,9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
42,ML,AEK,Aero Costa Rica,ACORISA,Costa Rica
43,DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
44,SU,AFL,Aeroflot,AEROFLOT,Russia
45,P3,PLS,Aeroflot-Plus,AEROPLUS,Russia
46,OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
47,SM,AAW,Allied Airways,,United Kingdom
48,KJ,AAZ,Asian Air,,Kyrgyzstan
49,YE,ACQ,Aryan Cargo Express,,India
50,VJ,AFF,Africa Airways,AFRIWAYS,Benin
51,QH,FLA,Air Florida,PALM,United States
52,3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
53,HD,ADO,AIRDO,AIR DO,Japan
54,UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
55,A2,AWG,Animawings,ANIMA WINGS,Romania
56,X9,NVD,Avion Express,NORDVIND,Lithuania
57,3S*,AEN,Aeroland Airways,AEROLAND,Greece
58,JU,ASL,Air Serbia,AIR SERBIA,Serbia
59,QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
60,XK,CCM,Air Corsica,CORSICA,France
61,EI,EIN,Aer Lingus,SHAMROCK,Ireland
62,EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom
63,A8,XAU,Aerolink Uganda,PEARL,Uganda
64,RV,ROU,Air Canada Rouge,ROUGE,Canada
65,7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
66,6U,ACX,Air Cargo Germany,LOADMASTER,Germany
67,ZI,AAF,Aigle Azur,AIGLE AZUR,France
68,AE,AE,Air Ceylon,CEYLON,Sri Lanka
69,4K*,AAS,Askari Aviation,AL-ASS,Pakistan
70,8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
71,Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
72,KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
73,QB,AAJ,Air Alma,AIR ALMA,Canada
74,LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
75,2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand
76,UX,AEA,Air Europa,EUROPA,Spain
77,IG,AEY,Air Italy,AIR ITALY,Italy
78,NX,AMU,Air Macau,AIR MACAO,Macao
79,6A,AMW,Armenia Airways,ARMENIA,Armenia
80,HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
81,AF,AFR,Air France,AIRFRANS,France
82,SB,ACI,Air Caledonie International,AIRCALIN,France
83,EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
84,ED,AXE,AirExplore,GALILEO,Slovakia
85,ZW,AWI,Air Wisconsin,WISCONSIN,United States
86,YI,RSI,Air Sunshine,AIR SUNSHINE,United States
87,GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
88,9T,RUN,Air ACT,CARGO TURK,Turkey
89,ZB,ABN,Air Albania,AIR ALBANIA,Albania
90,3J,AAQ,Air Alliance,LIAISON,Canada
91,WP,ATW,Air Antwerp,DEVIL,Belgium
92,BX,ABL,Air Busan,AIR BUSAN,South Korea
93,LB,LEP,Air Costa,LECOSTA,India
94,GL,GRL,Air Greenland,GREENLAND,Greenland
95,3S,GUY,Air Guyane Express,GREEN BIRD,French Guiana
96,NQ,AJX,Air Japan,AIR JAPAN,Japan
97,IJ,LIB,Air Liberté,LIBERTE,France
98,TT,KLA,Air Lithuania,KAUNAS,Lithuania
99,QM,AIM,Air Malawi,MALAWI,Malawi
100,L6,AMI,Air Maldives,AIR MALDIVES,Maldives
101,ML,BIE,Air Mediterranee,MEDITERRANEE,France
102,P8,MKG,Air Mekong,MEKONG,Vietnam
103,ZQ,MNE,Air Montenegro,MOUNT EAGLE,Montenegro
104,NZTE,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
105,4N,ANT,Air North Charter- Canada,AIR NORTH,Canada
106,YP,APZ,Air Premia,AIR PREMIA,South Korea
107,ZX,ABL,Air BC,AIRCOACH,Canada
108,G8,AGB,Air Service Gabon,,Gabon
109,7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
110,6V,VGA,Air Vegas,AIR VEGAS,United States
111,NH,ANA,All Nippon Airways,ALL NIPPON,Japan
112,TZ,TWG,air-taxi Europe,TWINGOOSE,Germany
113,2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States
114,V7,SNG,Air Senegal International,AIR SENEGAL,Senegal
115,AB,BER,Air Berlin,AIR BERLIN,Germany
116,4D,ASD,Air Sinai,AIR SINAI,Egypt
117,QN,ARR,Air Armenia,AIR ARMENIA,Armenia
118,AI,AIC,Air IndiaLimited,AIRINDIA,India
119,PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France
120,SZ,WOW,Air Southwest,SWALLOW,United Kingdom
121,8C,ATN,Air Transport International,AIR TRANSPORT,United States
122,NF,AVN,Air Vanuatu,AIR VAN,Vanuatu
123,ZB,BUB,Air Bourbon,BOURBON,Reunion
124,CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
125,RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
126,TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France
127,SW,NMB,Air Namibia,NAMIBIA,Namibia
128,AW,AFW,Africa World Airlines,BLACKSTAR,Ghana
129,PE,AEL,Air Europe Italy,AIR EUROPE,Italy
130,JM,AJM,Air Jamaica,JAMAICA,Jamaica
131,6G,AWW,Air Wales,RED DRAGON,United Kingdom
132,TX,FWI,Air Caraïbes,FRENCH WEST,France
133,IX,AXB,Air India Express,EXPRESS INDIA,India
134,BT,BTI,Air Baltic,AIRBALTIC,Latvia
135,EL,ANK,Air Nippon,ANK AIR,Japan
136,YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
137,PX,ANG,Air Niugini,NIUGINI,Papua New Guinea
138,G9,ABY,Air Arabia,ARABIA,United Arab Emirates
139,AC,ACA,Air Canada,AIR CANADA,Canada
140,AP,LAV,AlbaStar,ALBASTAR,Spain
141,E9,MHS,Air Memphis,AIR MEMPHIS,Egypt
142,XT,AXL,Air Exel,EXEL COMMUTER,Netherlands
143,UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
144,S2,RSH,Air Sahara,SAHARA,India
145,TC,ATC,Air Tanzania,TANZANIA,Tanzania
146,2J,VBW,Air Burkina,BURKINA,Burkina Faso
147,KM,AMC,Air Malta,AIR MALTA,Malta
148,YT,TGA,Air Togo,AIR TOGO,Togo
149,G4,AAY,Allegiant Air,ALLEGIANT,United States
150,O4,ABV,Antrak Air,ANTRAK,Ghana
151,GB,ABX,Airborne Express,ABEX,United States
152,8T,TID,Air Tindi,TINDI,Canada
153,3L,ADY,Air Arabia Abu Dhabi,Nawras[6][7],United Arab Emirates
154,EM*,AEB,Aero Benin,AEROBEN,Benin
155,KD,AEN,Air Enterprise,AIR ENTERPRISE,France
156,AX,AAC,AmericanConnection[8],CONNECT AMERICA,United States
157,AN,AAA,Ansett Australia,ANSETT,Australia
158,5W,AEU,Astraeus,FLYSTAR,United Kingdom
159,VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine
160,WK,AFB,American Falcon,AMERICAN FALCON,Argentina
161,QQ,UTY,Alliance Airlines,UNITY,Australia
162,FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
163,RV*,AFI,Africaone,AFRICAWORLD,The Gambia
164,Y2,AFJ,Alliance Air,JAMBO,Uganda
165,5Z,AFX,Airfreight Express,,United Kingdom
166,5D,SLI,Aeroméxico Connect,COSTERA,Mexico
167,1A,AGT,Amadeus IT Group,AMADEUS,Spain
168,JJ,AGX,Aviogenex,GENEX,Serbia
169,PL,PLI,Aeroperú,Aeroperu,Peru
170,8A,BMM,Atlas Blue,ATLAS BLUE,Morocco
171,GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark
172,HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
173,J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
174,U3,AIA,Avies,AVIES,Estonia
175,4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
176,KJ,AIH,Air Incheon,AIR INCHEON,South Korea
177,RS,ASV,Air Seoul,AIR SEOUL,South Korea
178,5A,AIP,Alpine Air Express,ALPINE AIR,United States
179,ED*,ABQ,Airblue,PAKBLUE,Pakistan
180,W4,BES,Aero Services Executive,BIRD EXPRESS,France
181,IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel
182,M6,AJT,Amerijet International,AMERIJET,United States
183,4A,AKL,Air Kiribati,KIRIBATI,Kiribati
184,EV,ASQ,Atlantic Southeast Airlines,ACEY,United States
185,HP,AWE,America West Airlines,CACTUS,United States
186,6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico
187,VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
188,DP,AMM,Air 2000,JETSET,United Kingdom
189,TZ,AMT,ATA Airlines,AMTRAN,United States
190,YJ,AMV,AMC Airlines,AMC AIRLINES,Egypt
191,AM,AMX,Aeroméxico,AEROMEXICO,Mexico
192,TL,ANO,Airnorth,TOPEND,Australia
193,OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina
194,IW,AOM,AOM French Airlines,French Lines,France
195,J6,AOC,AVCOM,AERO AVCOM,Russia
196,2D,AOG,Aero VIP,AVIP,Argentina
197,VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico
198,OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
199,GV,ARF,Aero Flight,Aero Fox,Germany
200,JW,APW,Arrow Air,BIG A,United States
201,2B,AWT,Albawings,ALBAWINGS,Albania
202,4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia
203,AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina
204,AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States
205,PL,ASE,Airstars,MOROZOV,Russia
206,OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
207,HC,ATI,Aero-Tropics Air Services,AEROTROPICS,Australia
208,FO,ATM,Airlines of Tasmania,AIRTAS,Australia
209,OS,AUA,Austrian Airlines,AUSTRIAN,Austria
210,IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany
211,RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
212,GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
213,NO,AUS,Aus-Air,AUS-AIR,Australia
214,AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina
215,K8,ZAK,Airlink Zambia,,Zambia
216,4Y,BGA,Airbus Transport International,BELUGA,France
217,B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh
218,AK,AXM,AirAsia,RED CAP,Malaysia
219,D7,XAX,AirAsia X,XANADU,Malaysia
220,DJ,WAJ,AirAsia Japan,WING ASIA,Japan
221,I5,IAD,AirAsia India,ARIYA,India
222,6V,AXY,Axis Airways,AXIS,France
223,EX,BJK,Atlantic Airlines,BLACKJACK,United States
224,3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
225,AZ,AZA,Alitalia,ALITALIA,Italy
226,ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany
227,A2,AZI,Astra Airlines,ASTRA,Greece
228,R7,OCA,Aserca Airlines,AROSCA,Venezuela
229,RX,AEH,Aviaexpress,AVEX,Hungary
230,MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States
231,ZS,AZI,Azzurra Air,AZZURRA,Italy
232,ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan
233,WI,WIL,Aero Air,WILLIAMETTE,United States
234,VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast
235,BP,BOT,Air Botswana,BOTSWANA,Botswana
236,GS,UPA,Air Foyle,FOYLE,United Kingdom
237,VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia
238,3N,URG,Air Urga,URGA,Ukraine
239,VL,VIM,Air VIA,CRYSTAL,Bulgaria
240,FK,WTA,Africa West,WEST TOGO,Togo
241,G2,VXG,Avirex,AVIREX-GABON,Gabon
242,V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation
243,K6,KHV,Angkor Air,AIR ANGKOR,Cambodia
244,CA,CCA,Air China,AIR CHINA,China
245,Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru
246,5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States
247,QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique
248,NV,CRF,Air Central,AIR CENTRAL,Japan
249,CV,CVA,Air Chathams,CHATHAM,New Zealand
250,CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
251,AH,DAH,Air Algérie,AIR ALGERIE,Algeria
252,ER,DHL,Astar Air Cargo,D-H-L,United States
253,EN,DLA,Air Dolomiti,DOLOMITI,Italy
254,NM,DRD,Air Madrid,ALADA AIR,Spain
255,6R,DRU,Alrosa Air Company,MIRNY,Russia
256,EE,EAY,Aero Airlines,REVAL,Estonia
257,4F,ECE,Air City,AIRCITY,Germany
258,E8,ELG,Alpi Eagles,ALPI EAGLES,Italy
259,RF,EOK,Aero K,AEROHANKUK,South Korea
260,KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe
261,E2/E6,EWE/EWL,Eurowings Europe,EUROPWINGS BLACK PEARL,Austria
262,PC,FAJ,Air Fiji,FIJIAIR,Fiji
263,JH,FDA,Fuji Dream Airlines,FUJI DREAM,Japan
264,OF,FIF,Air Finland,AIR FINLAND,Finland
265,FJ,FJI,Fiji Airways,PACIFIC,Fiji
266,RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands
267,QH,FLZ,Aero Leasing,AIR FLORIDA,United States
268,NY,FXI,Air Iceland,FAXI,Iceland
269,2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
270,ZX,GGN,Air Georgian,GEORGIAN,Canada
271,2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea
272,0A,GNT,Amber Air,GINTA,Lithuania
273,DA,GRG,Air Georgia,AIR GEORGIA,Georgia
274,LL,GRO,Allegro,ALLEGRO,Mexico
275,5Y,GTI,Atlas Air,GIANT,United States
276,GG,GUY,Air Guyane,GREEN BIRD,French Guiana
277,H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti
278,GG,HAH,Air Comores International,AIR COMORES,Comoros
279,HD,HLN,Air Holland,ORANGE,Netherlands
280,8C,HZT,Air Horizon,HORIZON TOGO,Togo
281,W9,JAB,Air Bagan,AIR BAGAN,Myanmar
282,IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan
283,QK,JZA,Air Canada Jazz,JAZZ,Canada
284,KK,KKK,Atlasjet,ATLASJET,Turkey
285,JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea
286,KC,KZR,Air Astana,ASTANALINE,Kazakhstan
287,LV,LBC,Albanian Airlines,ALBANIAN,Albania
288,3S,BOX,Aerologic,GERMAN CARGO,Germany
289,QP,AKJ,Akasa Air,AKASA AIR,India
290,H7,LFA,Air Alfa,AIR ALFA,Turkey
291,D4,LID,Alidaunia,ALIDA,Italy
292,9I,LLR,Air India Regional,ALLIED,India
293,XL,LNE,Aerolane,AEROLANE,Ecuador
294,4Z,LNK,Airlink,LINK,South Africa
295,FL,LPA,Air Leap,LEAP,Sweden
296,A6,LPV,Air Alps Aviation,ALPAV,Austria
297,TD,LUR,Atlantis European Airways,ATLANTIS,Armenia
298,L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
299,LK,LXR,Air Luxor,AIRLUXOR,Portugal
300,MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
301,MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
302,9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
303,L9,MLI,Air Mali,AIR MALI,Mali
304,A7,MPD,Air Plus Comet,RED COMET,Spain
305,QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico
306,MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania
307,F4,NBK,Albarka Air,AL-AIR,Nigeria
308,AJ,NIG,Aero Contractors,AEROLINE,Nigeria
309,8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi
310,OT,PEL,Aeropelican Air Services,PELICAN,Australia
311,AD,PRZ,Air Paradise International,RADISAIR,Indonesia
312,QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay
313,QS,QSC,African Safari Airways,ZEBRA,Kenya
314,4Y,RBU,Airbus France,AIRBUS FRANCE,France
315,AG,ARU,Aruba Airlines,ARUBA,Aruba
316,MC,RCH,Air Mobility Command,REACH,United States
317,RE,REA,Aer Arann,AER ARANN,Ireland
318,UU,REU,Air Austral,REUNION,France
319,ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay
320,6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines
321,A5,RLA,Airlinair,AIRLINAIR,France
322,NZ,RLK,Air Nelson,NELSON,New Zealand
323,QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka
324,R3,RME,Armenian Airlines,ARMENIAN,Armenia
325,MV,RML,Air Mediterranean,HELLASMED,Greece
326,2O,RNE,Air Salone,AIR SALONE,Sierra Leone
327,U8,RNV,Armavia,ARMAVIA,Armenia
328,BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic
329,P5,RPB,AeroRepública,AEROREPUBLICA,Colombia
330,E4,RSO,Aero Asia International,AERO ASIA,Pakistan
331,BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo
332,5L,RSU,AeroSur,AEROSUR,Bolivia
333,EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
334,JR,SER,Aero California,AEROCALIFORNIA,Mexico
335,Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe
336,M3,SPJ,Air Service,AIR SKOPJE,Macedonia
337,8D*,SUW,Astair,,Russian Federation
338,GM,SVK,Air Slovakia,SLOVAKIA,Slovakia
339,R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia
340,HC,SZN,Air Senegal,AIR SENEGAL,Senegal
341,VW,TAO,Aeromar,TRANS-AEROMAR,Mexico
342,JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands
343,CG,TOK,Airlines PNG,BALUS,Papua New Guinea
344,TY,TPC,Air Calédonie,AIRCAL,France
345,FL,TRS,AirTran Airways,CITRUS,United States
346,TS,TSC,Air Transat,AIR TRANSAT,Canada
347,EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
348,U7,UGA,Air Uganda,UGANDA,Uganda
349,6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine
350,KO,AER,Alaska Central Express,ACE AIR,United States
351,KH,AAH,Aloha Air Cargo,ALOHA,United States
352,AQ,AAH,Aloha Airlines,ALOHA,United States
353,AA,AAL,American Airlines,AMERICAN,United States
354,WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands
355,HO,DJA,Antinea Airlines,ANTINEA,Algeria
356,OZ,AAR,Asiana Airlines,ASIANA,South Korea
357,AG,ABR,ASL Airlines Ireland,CONTRACT,Ireland
358,8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya
359,XM,XME,Australian airExpress,AUS-CARGO,Australia
360,AO,AUZ,Australian Airlines,AUSTRALIAN,Australia
361,XP,VXP,Avelo Airlines,AVELO,United States
362,VE,AVE,Avensa,AVENSA,Venezuela
363,6A,CHP,Aviacsa,AVIACSA,Mexico
364,AV,AVA,Avianca,AVIANCA,Colombia
365,A0,MCJ,Avianca Argentina,JETMAC,Argentina
366,O6,ONE,Avianca Brasil,OCEAN AIR,Brazil
367,2K,GLG,Avianca Ecuador,GALAPAGOS,Ecuador
368,V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico
369,AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil
370,CJ,CFE,BA CityFlyer,FLYER,United Kingdom
